bundle	deleted	entity_id	revision_id	langcode	delta	field_event_date_value
event	0	11078	163728	und	0	1880-10-23
event	0	11079	11079	und	0	1880-12-01
event	0	11080	165625	und	0	1880-12-13
event	0	11081	11081	und	0	1880-12-19
event	0	11082	11082	und	0	1881-01-28
event	0	11083	11083	und	0	1881-02-08
event	0	11084	158815	und	0	1881-02-27
event	0	11085	158887	und	0	1881-03-06
event	0	11086	11086	und	0	1881-04-23
event	0	11087	11087	und	0	1881-05-28
event	0	11088	11088	und	0	1881-08-15
event	0	11089	163267	und	0	1881-10-01
event	0	11091	11091	und	0	1881-12-17
event	0	11092	167118	und	0	1882-04-27
event	0	11096	11096	und	0	1882-06-17
event	0	11097	162268	und	0	1882-08-14
event	0	11098	11098	und	0	1882-08-30
event	0	11099	11099	und	0	1883-04-16
event	0	11100	11100	und	0	1883-05-09
event	0	11102	11102	und	0	1884-02-08
event	0	11103	11103	und	0	1884-09-07
event	0	11104	163367	und	0	1884-10-13
event	0	11105	11105	und	0	1884-11-03
event	0	11106	11106	und	0	1885-08-20
event	0	11107	165845	und	0	1886-01-15
event	0	11108	11108	und	0	1886-01-17
event	0	11109	11109	und	0	1886-02-15
event	0	11110	11110	und	0	1886-04-14
event	0	11111	11111	und	0	1886-06-11
event	0	11112	11112	und	0	1886-09-20
event	0	11114	11114	und	0	1886-10-11
event	0	11115	158118	und	0	1887-01-26
event	0	11116	11116	und	0	1887-04-12
event	0	11117	11117	und	0	1887-05-29
event	0	11119	11119	und	0	1887-08-17
event	0	11120	11120	und	0	1887-09-04
event	0	11121	11121	und	0	1887-10-17
event	0	11122	163861	und	0	1887-10-28
event	0	11123	156793	und	0	1887-11-08
event	0	11124	11124	und	0	1887-12-18
event	0	11125	11125	und	0	1888-03-13
event	0	11126	11126	und	0	1888-04-26
event	0	11127	11127	und	0	1888-08-30
event	0	11128	157302	und	0	1889-02-01
event	0	11129	11129	und	0	1889-04-30
event	0	11130	159853	und	0	2011-05-01
event	0	11131	11131	und	0	1889-05-06
event	0	11132	160192	und	0	1889-05-15
event	0	11133	11133	und	0	1889-07-07
event	0	11134	11134	und	0	1889-10-15
event	0	11135	11135	und	0	1889-11-14
event	0	11136	11136	und	0	1890-03-04
event	0	11137	11137	und	0	1890-03-17
