89751	A flying instructor for microlight aircrafts, Willem Bester, and his pupil, L.P. van der Merwe, die when their craft crashes on
91501	A force of about fifty armed dissidents infiltrate the Togolese capital of Lome in an attempt to topple President Gnassingbe Ey
76200	A foreign ministry statement issued in Pretoria, blames ‘developments in Angola’ for the indefinite postponement of President M
70039	A former member of Winnie Madikizela-Mandela’s entourage testifies before the South African Truth and Reconciliation Commission
74258	A former president of the Eastern Cape Agricultural Union, Fred Pettit, is stabbed to death in his house near Queenstown.
70002	A former theology student, Carl Niehaus, is sentenced to fifteen years in prison for high treason in the Rand Supreme Court. Hi
89258	A forty-eight-hour strike and a week of mass action starts to force an early transition to majority rule and effective measures
85961	A four-day conference (16-19 June) to examine racism, colonialism and apartheid in South Africa is held in Lisbon, Portugal, or
70652	A freak storm, one of the worst in living memory, hits Johannesburg International Airport, damaging several passenger jets so b
88640	A free trade agreement between Morocco and the US comes into effect.
71270	A French Caravelle crashes in Morocco. 106 people are killed.
69727	A fugitive murderer holds the Alexander family of the SA diplomatic corps in Taiwan hostage.
83610	A full bench of eleven judges of the Appeal Court upholds an appeal against a conviction under the Terrorism Act, on the ground
68922	A full scale police search, headed by a specially trained anti-terrorist unit is launched following a shoot-out between police
70843	A further 2,147 mile section of the Cape-to-Cairo Railroad is completed when lines meet at the Sudan-Congo border. africanhisto
88890	A gale force southeaster wrenches the Antipolis loose from her anchor and the ship runs aground at Oudekraal.  In the same sto
74661	A gangway collapses when passengers board a ferry on the Congo River, drowning at least 147 in the Republic of Congo.
92827	A gas explosion devastates the officers’ club of the SA National Defence Force, a national monument, in Wynberg, Cape Town.
90587	A Gauteng businessman, who is believed to be linked to an international nuclear weapons smuggling organisation, has been arrest
71040	A general amnesty is announced for Mau Mau forest fighters in Kenya. africanhistory.about.com
85997	A general election is held after Gen. J.C. Smuts lost his seat in a by-election in April and resigned as premier without consul
92581	A German anti-terrorist unit storms a hi-jacked Lufthansa airliner at Mogadishu airport, Somalia. Three Palestinian terrorists
87497	A German baker, Carel Christoph Pabst, starts a music school in Cape Town to train amateur musicians for his orchestra.
87329	A German gunboat, Panther, reaches Agadir, Morocco, claiming that the French has ignored the terms of the 1906 Algeciras Confer
90992	A German photographer, Christian Hohmann (36), dies in a KwaZulu nature reserve when an elephant cow gores him.
89386	A German protectorate is declared over Angra Pequena and the German flag is hoisted at Lüderitzbucht.
90990	A German Tupolef plane and an American Starlifter collide off the Namibian coast, killing thirty-three people.
83096	A global conference at the United Nations decides to extend the Nuclear Non-proliferation Treaty indefinitely.
72745	A government commission is appointed to inquire into and report on all aspects of native education.
73354	A Government Gazette of this date amends and eases security emergency regulations.
92113	A government notice gazetted on this date provides for the establishment of an Ndebele Tribal Authority.
88294	A grenade attack is launched on the ANC headquarters in Johannesburg. It is blamed by the ANC on a ‘third force’, and is linked
81932	A Group Areas Amendment Bill introduced on 7 March 1982 and enacted on 21 April, maintains the existing commitment to the princ
87799	A group of about 150 women occupy the Chevron Texaco Corp oil pipeline terminal in Escravos, Nigeria, trapping some 700 workers
82028	A group of academics founds the ‘Afrikaans-Duitse Kultuurunie’ (Afrikaans-Deutsche Kultur-Gemeinschaft) in Pretoria.
82082	A group of academics founds the ‘Afrikaans-Duitse Kultuurunie’ (Afrikaans-Deutsche Kultur-Gemeinschaft) in Pretoria.
72992	A group of clergymen of seven Christian churches including the Roman Catholic, Anglican and Methodist churches calling themselv
73113	A group of dissatisfied members of the AWB (Afrikaner-Weerstandsbeweging) break away and start the BVB (Boere-Vryheidsbeweging)
70267	A group of forty German travel agents are robbed at gunpoint of their handbags in their bus at Cape Town’s Khayelitsha township
71908	A group of junior officers overthrows civilian government of Ghana in West Africa.
88286	A group of nine young activists is shot by the SA Police in a house in Vlaklaagte, KwaNdebele.
88213	A group of San male prisoners, being escorted from Boshof to Bloemfontein to be tried, is stopped by a group of thirty armed Wh
70007	A group of ultra right Whites storm 300 Black children in a park in Louis Trichardt, northern Transvaal.
91688	A group of Whites at the Cape ascends Table Mountain for the first time, with Khoi-Khoi chief Herry as guide.
70301	A Hammanskraal policeman, Richard Motasi, an alleged informer for the Zimbabwean security police, and his wife Irene is murdere
79477	A hearing to decide the financial settlement between President Mandela and Winnie Mandela is held at which the President testif
73012	A heat wave hits South Africa and temperatures soar in places to up to 44,4 Centigrade.
89164	A High Court is established in Umtata, capital of the Transkei.
88761	A hijacker holds an Algerian jetliner for five hours at an airport in western Algeria before he is overpowered. All 232 people
84835	A human leg falls from a South African Airways plane on to a suburban New York home as the aircraft prepares to land at John F
69682	A joint Egyptian-Syrian parliamentary meeting approves the creation of a Federal Union of Egypt and Syria.
92160	A joint statement is issued following a meeting by President de Klerk and Nelson Mandela to discuss the recent violence. The st
92161	A joint statement is issued following a meeting by President de Klerk and Nelson Mandela to discuss the recent violence. The st
83836	A joint statement is issued, agreed to by Dr. Verwoerd, Victorio Carpio, Dr. de Alva and the Foreign minister, Eric Louw, indic
82676	A Kenya Airways jet that took off during a midnight storm crashes shortly after take-off with 114 (115?) on board after sending
73211	A Kenyan Airplanes plane crashes into the sea off Côte d’Ivoire, killing all but ten of the 179 people on board.  (Mail &amp;
92175	A key suspect in the bomb attack on the American embassies in Nairobi and Dar es Salaam, who was tracked down in Cape Town by t
88834	A Korean Air DC-10 crashes in heavy fog while attempting to land at Tripoli airport in Libya, killing eighty-two people, four o
74686	A large cache of arms is discovered in a township near Springs, east of Johannesburg. Together with the buried arms are bundles
92270	A large crowd spends the night outside the Durban magistrate’s court in an all-night vigil for former deputy president Jacob Zu
71453	A large force of some 12 000 Western Xhosas, led by Makoma (Maqoma), the leader of the Gaika tribe, sweeps into the Cape Colony
72879	A large section of the Coalbrook mine near Sasolburg caves in and traps 435 miners, the worst mine disaster in South African hi
79509	A large-scale work and school stay-away takes place to commemorate the Sharpeville shootings in 1960.
70249	A leader of the South West African People’s Union and former prisoner on Robben Island, Mr Immanuel Shifidi, is killed during v
87364	A legislative assembly is instituted in Gazankulu. Self-government was granted on 1 Feb. 1973.
84074	A Legislative Assembly is instituted in the Venda homeland, with partial self-government granted on 1 Feb. 1973.
74632	A Legislative Council is established in Natal.
70263	A lesbian couple’s appeal to the Supreme Court of Appeal to have their marriage legally recognised and registered succeeds. Mar
82858	A Liberian freighter rams a bridge in Florida’s Tampa Bay, collapsing part of the span (a 1,400-foot section) and plunging thir
71251	A Libyan Boeing 727 with 158 people aboard crashes near the town of Souk al-Sabt, near Tripoli, killing all 158 people. (Mail &
89250	A light aircraft crashes near Kuils River, C.P., and seven people die.
88684	A limpet mine blast opposite the Athlone Magistrate’s Court and police complex kills two people. A third person is killed in a
70642	A limpet mine explodes in a Queenstown restaurant in the Eastern Cape, injuring nineteen people.
91428	A limpet-mine explosion injures nineteen people, two seriously, at a bus terminus in central Johannesburg.
90763	A limpet-mine explosion kills a man outside a crowded centre in Northcliff, Johannesburg. Police suspect that the victim was ca
69606	A list of 437 persons said to have been office-bearers, officers, members or active supporters of the banned Communist Party of South Africa is published
79723	A major detailed Administration statement is made by the United States Assistant Secretary of State for African Affairs, David
69158	A major stay-away starts (5 and 6 November).  500 000 workers and 400 000 students stay away.
89405	A Malagasy government delegation arrives in SA for a five-day visit aimed at consolidating relations between the two countries.
69108	A man arrested in connection with the shooting of a farmer, Niels Verburg, 52, and his son, Kim, 5, in a cave on 30 October, wa
91740	A manned private rocket ship SpaceShipOne, piloted by 62-year-old South African-born Michael Melvill, bursts through the Earth’
